Path	Lines of Code
components/ui/accordion.tsx	56
components/ui/alert-dialog.tsx	126
components/ui/alert.tsx	56
components/ui/aspect-ratio.tsx	6
components/ui/avatar.tsx	43
components/ui/badge.tsx	37
components/ui/breadcrumb.tsx	99
components/ui/button-group.tsx	67
components/ui/button.tsx	58
components/ui/calendar.tsx	203
components/ui/card.tsx	70
components/ui/carousel.tsx	204
components/ui/chart.tsx	303
components/ui/checkbox.tsx	25
components/ui/collapsible.tsx	24
components/ui/command.tsx	172
components/ui/context-menu.tsx	214
components/ui/dialog.tsx	125
components/ui/drawer.tsx	107
components/ui/dropdown-menu.tsx	219
components/ui/empty.tsx	95
components/ui/field.tsx	225
components/ui/form.tsx	144
components/ui/hover-card.tsx	38
components/ui/input-group.tsx	138
components/ui/input-otp.tsx	66
components/ui/input.tsx	13
components/ui/item.tsx	179
components/ui/kbd.tsx	25
components/ui/label.tsx	16
components/ui/menubar.tsx	257
components/ui/pagination.tsx	106
components/ui/popover.tsx	39
components/ui/progress.tsx	27
components/ui/radio-group.tsx	40
components/ui/resizable.tsx	47
components/ui/scroll-area.tsx	53
components/ui/select.tsx	157
components/ui/separator.tsx	20
components/ui/sheet.tsx	113
components/ui/sidebar.tsx	635
components/ui/skeleton.tsx	7
components/ui/slider.tsx	58
components/ui/sonner.tsx	36
components/ui/spinner.tsx	9
components/ui/switch.tsx	27
components/ui/table.tsx	91
components/ui/tabs.tsx	59
components/ui/textarea.tsx	11
components/ui/toggle-group.tsx	63
components/ui/toggle.tsx	38
components/ui/tooltip.tsx	51
