Metric		Current
TOTAL_NUMBER_OF_FILES		75,687
NUMBER_OF_FILES_MAIN		140
LINES_OF_CODE_MAIN		9,118
NUMBER_OF_FILES_MAIN_EXT_TS		80
LINES_OF_CODE_MAIN_EXT_TS		4,701
NUMBER_OF_FILES_MAIN_EXT_TSX		54
LINES_OF_CODE_MAIN_EXT_TSX		4,235
NUMBER_OF_FILES_MAIN_EXT_CSS		1
LINES_OF_CODE_MAIN_EXT_CSS		105
NUMBER_OF_FILES_MAIN_EXT_MJS		3
LINES_OF_CODE_MAIN_EXT_MJS		37
NUMBER_OF_FILES_MAIN_EXT_PY		1
LINES_OF_CODE_MAIN_EXT_PY		36
NUMBER_OF_FILES_MAIN_EXT_JS		1
LINES_OF_CODE_MAIN_EXT_JS		4
NUMBER_OF_FILES_TEST		13
LINES_OF_CODE_TEST		1,362
NUMBER_OF_FILES_TEST_EXT_TS		13
LINES_OF_CODE_TEST_EXT_TS		1,362
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		14.93
NUMBER_OF_FILES_GENERATED		0
LINES_OF_CODE_GENERATED		0
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		81
LINES_OF_CODE_OTHER		3,224
NUMBER_OF_FILES_OTHER_EXT_JSON		17
LINES_OF_CODE_OTHER_EXT_JSON		2,644
NUMBER_OF_FILES_OTHER_EXT_TXT		32
LINES_OF_CODE_OTHER_EXT_TXT		359
NUMBER_OF_FILES_OTHER_EXT_SVG		31
LINES_OF_CODE_OTHER_EXT_SVG		154
NUMBER_OF_FILES_OTHER_EXT_MD		1
LINES_OF_CODE_OTHER_EXT_MD		67
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_APP		88
LINES_OF_CODE_DECOMPOSITION_PRIMARY_APP		6,052
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_APP_EXT_TSX		42
LINES_OF_CODE_DECOMPOSITION_PRIMARY_APP_EXT_TSX		3,433
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_APP_EXT_TS		45
LINES_OF_CODE_DECOMPOSITION_PRIMARY_APP_EXT_TS		2,514
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_APP_EXT_CSS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_APP_EXT_CSS		105
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COMPONENTS		12
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS		802
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COMPONENTS_EXT_TSX		12
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS_EXT_TSX		802
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT		11
