Path	Lines of Code
app/Components/Footer.tsx	89
app/Components/Header.tsx	186
app/_components/ProductCarousel.tsx	101
app/about/page.tsx	11
app/api/cart/route.ts	47
app/api/cart/user/route.ts	24
app/api/orders/create-payment/route.tsx	80
app/api/orders/route.ts	63
app/api/orders/user/route.ts	55
app/api/product/[slug]/reviews/replies/route.ts	168
app/api/product/[slug]/reviews/route.ts	361
app/api/product/[slug]/route.ts	83
app/api/product/route.ts	63
app/api/product/user/route.ts	122
app/api/professional/[id]/route.ts	94
app/api/uploads/route.ts	25
app/api/user/connect-stripe-account/route.ts	21
app/api/user/create-stripe-account/route.ts	58
app/api/user/delete/route.ts	19
app/api/user/login/route.ts	34
app/api/user/logout/route.ts	10
app/api/user/me/route.ts	8
app/api/user/register/route.ts	86
app/api/user/update/route.ts	77
app/auth/[slug]/page.tsx	285
app/browse/components/categories.tsx	45
app/browse/page.tsx	94
app/context/AuthContext.tsx	52
app/context/AuthProvider.tsx	22
app/globals.css	105
app/layout.tsx	34
app/lib/auth/login.ts	61
app/lib/convertToSubcurrency.ts	4
app/lib/definition.ts	35
app/lib/orders.ts	32
app/lib/productCrud.ts	83
app/lib/products.ts	59
app/lib/session.ts	38
app/lib/session/tokens.ts	31
app/lib/storage/s3.ts	105
app/lib/storage/uploadAdapter.ts	15
app/lib/user.ts	31
app/myorderslist/_components/Modal.tsx	158
app/myorderslist/_components/OrderList.tsx	221
app/myorderslist/_hooks/orderStates.ts	63
app/myorderslist/page.tsx	55
app/myproduct/_components/Modal.tsx	202
app/myproduct/_components/PostList.tsx	257
app/myproduct/_hooks/postStates.ts	174
app/myproduct/actions.ts	8
app/myproduct/page.tsx	96
app/orders/_components/Modal.tsx	158
app/orders/_components/OrderList.tsx	269
app/orders/_hooks/orderStates.ts	120
app/orders/page.tsx	34
app/page.tsx	22
app/product/[slug]/components/Comment.tsx	293
app/product/[slug]/components/Comments.tsx	186
app/product/[slug]/components/Modal.tsx	77
app/product/[slug]/components/useComments.ts	468
app/product/[slug]/page.tsx	216
app/product/[slug]/payment/module/CheckoutPage.tsx	104
app/product/[slug]/payment/page.tsx	159
app/product/[slug]/payment/success/page.tsx	18
app/professional/[id]/page.tsx	140
app/settings/SettingsForm.tsx	234
app/settings/StripeConnectButton.tsx	56
app/settings/modal.tsx	49
app/settings/page.tsx	20
app/utils/TransitionLink.tsx	46
app/utils/email.ts	41
