Path	Lines of Code
prisma/migrations/20251002155517_init/migration.sql	47
prisma/migrations/20251002182928_changed_ids_to_string_instead_of_big_int/migration.sql	38
prisma/migrations/20251002184927_added_default_date_value_to_posts/migration.sql	1
prisma/migrations/20251016163611_added_category_column_in_posts/migration.sql	2
prisma/migrations/20251016165121_added_category/migration.sql	3
prisma/migrations/20251016170846_category_is_now_with_a_small_letter/migration.sql	2
prisma/migrations/20251017214247_category_order/migration.sql	4
prisma/migrations/20251018141155_enum_status_for_commands/migration.sql	2
prisma/migrations/20251030155920_add_vendor_id/migration.sql	1
prisma/migrations/20251030170423_add_review_replies/migration.sql	9
prisma/migrations/20251030220108_add_rating/migration.sql	1
prisma/migrations/20251030221317_change_rating_on_reviews_and_the_type_on_posts_rating/migration.sql	2
prisma/migrations/20251030223914_add_product_rating_metrics/migration.sql	2
prisma/migrations/migration_lock.toml	3
prisma/schema.prisma	79
prisma/seed.ts	65
