path	# lines of code
coverage/api/cart/index.html	102	
coverage/api/cart/route.ts.html	230	
coverage/api/orders/index.html	102	
coverage/api/orders/route.ts.html	266	
coverage/api/product/index.html	102	
coverage/api/product/route.ts.html	275	
coverage/api/professional/[id]/index.html	102	
coverage/api/professional/[id]/route.ts.html	386	
coverage/api/uploads/index.html	102	
coverage/api/uploads/route.ts.html	158	
coverage/api/user/connect-stripe-account/index.html	102	
coverage/api/user/connect-stripe-account/route.ts.html	146	
coverage/api/user/create-stripe-account/index.html	102	
coverage/api/user/create-stripe-account/route.ts.html	269	
coverage/api/user/delete/index.html	102	
coverage/api/user/delete/route.ts.html	137	
coverage/api/user/login/index.html	102	
coverage/api/user/login/route.ts.html	188	
coverage/api/user/logout/index.html	102	
coverage/api/user/logout/route.ts.html	104	
coverage/api/user/me/index.html	102	
coverage/api/user/me/route.ts.html	104	
coverage/api/user/register/index.html	102	
coverage/api/user/register/route.ts.html	362	
coverage/api/user/update/index.html	102	
coverage/api/user/update/route.ts.html	332	
coverage/base.css	203	
coverage/block-navigation.js	66	
coverage/clover.xml	868	
coverage/index.html	298	
coverage/lcov-report/api/cart/index.html	102	
coverage/lcov-report/api/cart/route.ts.html	230	
coverage/lcov-report/api/orders/index.html	102	
coverage/lcov-report/api/orders/route.ts.html	266	
coverage/lcov-report/api/product/index.html	102	
coverage/lcov-report/api/product/route.ts.html	275	
coverage/lcov-report/api/professional/[id]/index.html	102	
coverage/lcov-report/api/professional/[id]/route.ts.html	386	
coverage/lcov-report/api/uploads/index.html	102	
coverage/lcov-report/api/uploads/route.ts.html	158	
coverage/lcov-report/api/user/connect-stripe-account/index.html	102	
coverage/lcov-report/api/user/connect-stripe-account/route.ts.html	146	
coverage/lcov-report/api/user/create-stripe-account/index.html	102	
coverage/lcov-report/api/user/create-stripe-account/route.ts.html	269	
coverage/lcov-report/api/user/delete/index.html	102	
coverage/lcov-report/api/user/delete/route.ts.html	137	
coverage/lcov-report/api/user/login/index.html	102	
coverage/lcov-report/api/user/login/route.ts.html	188	
coverage/lcov-report/api/user/logout/index.html	102	
coverage/lcov-report/api/user/logout/route.ts.html	104	
coverage/lcov-report/api/user/me/index.html	102	
coverage/lcov-report/api/user/me/route.ts.html	104	
coverage/lcov-report/api/user/register/index.html	102	
coverage/lcov-report/api/user/register/route.ts.html	362	
coverage/lcov-report/api/user/update/index.html	102	
coverage/lcov-report/api/user/update/route.ts.html	332	
coverage/lcov-report/base.css	203	
coverage/lcov-report/block-navigation.js	66	
coverage/lcov-report/index.html	298	
coverage/lcov-report/lib/auth/index.html	102	
coverage/lcov-report/lib/auth/login.ts.html	290	
coverage/lcov-report/lib/storage/index.html	102	
coverage/lcov-report/lib/storage/uploadAdapter.ts.html	134	
coverage/lcov-report/prettify.css	1	
coverage/lcov-report/sorter.js	171	
coverage/lib/auth/index.html	102	
coverage/lib/auth/login.ts.html	290	
coverage/lib/storage/index.html	102	
coverage/lib/storage/uploadAdapter.ts.html	134	
coverage/prettify.css	1	
coverage/sorter.js	171	
