Metric		Current
TOTAL_NUMBER_OF_FILES		92,470
NUMBER_OF_FILES_MAIN		241
LINES_OF_CODE_MAIN		26,235
NUMBER_OF_FILES_MAIN_EXT_HTML		62
LINES_OF_CODE_MAIN_EXT_HTML		10,418
NUMBER_OF_FILES_MAIN_EXT_TSX		86
LINES_OF_CODE_MAIN_EXT_TSX		9,166
NUMBER_OF_FILES_MAIN_EXT_TS		64
LINES_OF_CODE_MAIN_EXT_TS		4,559
NUMBER_OF_FILES_MAIN_EXT_XML		1
LINES_OF_CODE_MAIN_EXT_XML		868
NUMBER_OF_FILES_MAIN_EXT_CSS		5
LINES_OF_CODE_MAIN_EXT_CSS		513
NUMBER_OF_FILES_MAIN_EXT_JS		5
LINES_OF_CODE_MAIN_EXT_JS		478
NUMBER_OF_FILES_MAIN_EXT_SQL		13
LINES_OF_CODE_MAIN_EXT_SQL		114
NUMBER_OF_FILES_MAIN_EXT_PRISMA		1
LINES_OF_CODE_MAIN_EXT_PRISMA		79
NUMBER_OF_FILES_MAIN_EXT_MJS		3
LINES_OF_CODE_MAIN_EXT_MJS		37
NUMBER_OF_FILES_MAIN_EXT_TOML		1
LINES_OF_CODE_MAIN_EXT_TOML		3
NUMBER_OF_FILES_TEST		22
LINES_OF_CODE_TEST		1,910
NUMBER_OF_FILES_TEST_EXT_TS		17
LINES_OF_CODE_TEST_EXT_TS		1,692
NUMBER_OF_FILES_TEST_EXT_FEATURE		5
LINES_OF_CODE_TEST_EXT_FEATURE		218
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		7.28
NUMBER_OF_FILES_GENERATED		1
LINES_OF_CODE_GENERATED		1
NUMBER_OF_FILES_GENERATED_EXT_JS		1
LINES_OF_CODE_GENERATED_EXT_JS		1
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		13
LINES_OF_CODE_OTHER		642
NUMBER_OF_FILES_OTHER_EXT_JSON		6
LINES_OF_CODE_OTHER_EXT_JSON		444
NUMBER_OF_FILES_OTHER_EXT_SVG		5
LINES_OF_CODE_OTHER_EXT_SVG		128
NUMBER_OF_FILES_OTHER_EXT_MD		1
LINES_OF_CODE_OTHER_EXT_MD		53
NUMBER_OF_FILES_OTHER_EXT_TXT		1
LINES_OF_CODE_OTHER_EXT_TXT		17
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_APP		71
LINES_OF_CODE_DECOMPOSITION_PRIMARY_APP		6,960
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_APP_EXT_TSX		34
LINES_OF_CODE_DECOMPOSITION_PRIMARY_APP_EXT_TSX		4,069
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_APP_EXT_TS		36
LINES_OF_CODE_DECOMPOSITION_PRIMARY_APP_EXT_TS		2,786
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_APP_EXT_CSS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_APP_EXT_CSS		105
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COMPONENTS		52
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS		5,097
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COMPONENTS_EXT_TSX		52
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS_EXT_TSX		5,097
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COVERAGE		71
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COVERAGE		12,168
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COVERAGE_EXT_HTML		62
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COVERAGE_EXT_HTML		10,418
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_COVERAGE_EXT_XML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COVERAGE_EXT_XML		868
