Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		6,359
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		826
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		899
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		508
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		508
CONDITIONAL_COMPLEXITY_COMPONENT_APP_NEGLIGIBLE_RISK_LOC		1,254
CONDITIONAL_COMPLEXITY_COMPONENT_APP_LOW_RISK_LOC		417
CONDITIONAL_COMPLEXITY_COMPONENT_APP_MEDIUM_RISK_LOC		839
CONDITIONAL_COMPLEXITY_COMPONENT_APP_HIGH_RISK_LOC		508
CONDITIONAL_COMPLEXITY_COMPONENT_APP_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_LOC		3,869
CONDITIONAL_COMPLEXITY_COMPONENT_COMPONENTS_LOW_RISK_LOC		302
CONDITIONAL_COMPLEXITY_COMPONENT_COMPONENTS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_COMPONENTS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_COMPONENTS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_COVERAGE_NEGLIGIBLE_RISK_LOC		372
CONDITIONAL_COMPLEXITY_COMPONENT_COVERAGE_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_COVERAGE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_COVERAGE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_COVERAGE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		17
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FEATURES_NEGLIGIBLE_RISK_LOC		778
CONDITIONAL_COMPLEXITY_COMPONENT_FEATURES_LOW_RISK_LOC		107
CONDITIONAL_COMPLEXITY_COMPONENT_FEATURES_MEDIUM_RISK_LOC		60
CONDITIONAL_COMPLEXITY_COMPONENT_FEATURES_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FEATURES_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_HOOKS_NEGLIGIBLE_RISK_LOC		15
CONDITIONAL_COMPLEXITY_COMPONENT_HOOKS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_HOOKS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_HOOKS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_HOOKS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_LIB_NEGLIGIBLE_RISK_LOC		3
CONDITIONAL_COMPLEXITY_COMPONENT_LIB_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_LIB_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_LIB_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_LIB_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PRISMA_NEGLIGIBLE_RISK_LOC		51
CONDITIONAL_COMPLEXITY_COMPONENT_PRISMA_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PRISMA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PRISMA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PRISMA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_NEGLIGIBLE_RISK_LOC		1,744
CONDITIONAL_COMPLEXITY_COMPONENT_TS_LOW_RISK_LOC		397
CONDITIONAL_COMPLEXITY_COMPONENT_TS_MEDIUM_RISK_LOC		300
CONDITIONAL_COMPLEXITY_COMPONENT_TS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_LOC		4,243
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_LOC		429
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_LOC		599
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_HIGH_RISK_LOC		508
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_VERY_HIGH_RISK_LOC		0
